timestep,episode,reward,mean_reward
178,1,42.0,42.0
281,2,42.0,42.0
356,3,63.0,49.0
529,4,63.0,52.5
585,5,21.0,46.2
614,6,42.0,45.5
768,7,42.0,45.0
957,8,63.0,47.25
1149,9,84.0,51.333332
1314,10,21.0,48.3
1522,11,105.0,53.454544
1716,12,42.0,52.5
1843,13,63.0,53.307693
2064,14,84.0,55.5
2253,15,42.0,54.6
2450,16,21.0,52.5
2742,17,63.0,53.117645
2899,18,42.0,52.5
3120,19,42.0,51.94737
3269,20,21.0,50.4
3558,21,42.0,50.0
3891,22,105.0,52.5
4184,23,105.0,54.782608
4381,24,84.0,56.0
4575,25,63.0,56.28
4764,26,42.0,55.73077
4819,27,0.0,53.666668
5472,28,168.0,57.75
5677,29,84.0,58.655174
5962,30,84.0,59.5
6311,31,63.0,59.612904
6808,32,84.0,60.375
7373,33,147.0,63.0
7954,34,168.0,66.088234
8283,35,63.0,66.0
8490,36,126.0,67.666664
9015,37,63.0,67.54054
9198,38,63.0,67.42105
9745,39,63.0,67.30769
10247,40,105.0,68.25
10695,41,42.0,67.60976
10817,42,168.0,70.0
10958,43,84.0,70.325584
11298,44,105.0,71.11364
12159,45,252.0,75.13333
12388,46,105.0,75.78261
12421,47,0.0,74.17021
12677,48,189.0,76.5625
12802,49,0.0,75.0
13081,50,21.0,73.92
13324,51,189.0,76.17647
13472,52,84.0,76.32692
13621,53,21.0,75.28302
13956,54,84.0,75.44444
14191,55,126.0,76.36364
14416,56,84.0,76.5
14557,57,63.0,76.26316
14762,58,63.0,76.034485
14943,59,105.0,76.52542
15271,60,189.0,78.4
15452,61,42.0,77.803276
15697,62,42.0,77.22581
16150,63,105.0,77.666664
16410,64,168.0,79.078125
16727,65,63.0,78.83077
16846,66,42.0,78.27273
16993,67,63.0,78.04478
17345,68,210.0,79.98529
17614,69,84.0,80.04348
17819,70,126.0,80.7
18008,71,126.0,81.33803
18070,72,63.0,81.083336
18408,73,126.0,81.69863
18549,74,21.0,80.87838
18706,75,63.0,80.64
19038,76,147.0,81.51316
19299,77,84.0,81.545456
19402,78,42.0,81.03846
19431,79,0.0,80.01266
19494,80,21.0,79.275
19624,81,63.0,79.07407
19648,82,21.0,78.36585
19709,83,21.0,77.6747
20491,84,378.0,81.25
20664,85,21.0,80.541176
20813,86,21.0,79.84884
20954,87,42.0,79.413795
21104,88,84.0,79.46591
21389,89,189.0,80.69663
21690,90,126.0,81.2
