timestep,episode,reward,mean_reward
40737,242,84.0,81.69
40944,243,63.0,82.11
41005,244,21.0,81.48
41155,245,126.0,81.69
41280,246,63.0,82.11
41429,247,21.0,81.69
41594,248,21.0,81.06
41803,249,147.0,81.9
41984,250,126.0,81.48
42245,251,147.0,82.11
42410,252,147.0,83.37
42504,253,42.0,83.37
42570,254,42.0,83.16
42719,255,84.0,84.0
42876,256,84.0,84.84
43023,257,84.0,84.21
43095,258,42.0,82.53
43209,259,63.0,82.74
43390,260,147.0,83.58
43556,261,147.0,84.0
43713,262,63.0,84.42
43793,263,42.0,84.63
43886,264,42.0,84.0
44141,265,147.0,85.47
44266,266,42.0,84.63
44407,267,21.0,83.79
44676,268,84.0,84.21
44919,269,147.0,85.05
45243,270,189.0,85.68
45384,271,63.0,85.68
45533,272,0.0,84.21
45698,273,147.0,85.68
45886,274,21.0,84.84
46048,275,105.0,83.37
46245,276,42.0,83.37
46325,277,21.0,83.37
46471,278,126.0,84.21
46652,279,105.0,84.21
47137,280,84.0,84.21
47270,281,63.0,83.58
47399,282,105.0,84.63
47548,283,84.0,85.26
47675,284,42.0,85.26
47838,285,105.0,86.1
47898,286,42.0,85.47
48061,287,84.0,84.0
48186,288,21.0,84.0
48351,289,105.0,84.42
48512,290,84.0,84.63
48637,291,84.0,84.84
48794,292,63.0,83.37
48935,293,84.0,82.95
48992,294,63.0,82.95
49053,295,21.0,82.53
49088,296,0.0,81.27
49237,297,84.0,81.9
49365,298,105.0,81.69
49490,299,84.0,80.85
49631,300,63.0,80.85
49828,301,168.0,81.27
49962,302,105.0,81.48
50177,303,126.0,81.9
50249,304,21.0,80.43
50387,305,63.0,80.43
50552,306,126.0,80.85
50698,307,126.0,81.27
50863,308,105.0,80.85
51036,309,105.0,81.48
51185,310,84.0,80.01
51351,311,189.0,80.43
51548,312,21.0,79.59
51697,313,84.0,79.59
51854,314,0.0,78.75
52062,315,168.0,79.38
52102,316,0.0,78.54
52280,317,105.0,78.96
52477,318,168.0,79.59
52620,319,84.0,80.01
52769,320,126.0,81.06
52918,321,42.0,81.06
53067,322,105.0,80.43
53249,323,168.0,81.06
53414,324,63.0,80.85
53555,325,147.0,82.32
53658,326,21.0,81.9
53813,327,126.0,82.11
53879,328,21.0,81.9
54052,329,63.0,82.32
54217,330,126.0,82.11
54378,331,105.0,82.95
54527,332,126.0,83.58
54668,333,105.0,83.37
54801,334,42.0,83.37
54926,335,42.0,82.53
54993,336,63.0,83.16
55092,337,21.0,81.69
55175,338,21.0,81.27
55324,339,105.0,82.11
55473,340,63.0,82.32
55601,341,105.0,82.32
55774,342,126.0,82.74
55915,343,84.0,82.95
56099,344,105.0,83.79
56263,345,105.0,83.58
56444,346,168.0,84.63
56572,347,63.0,85.05
56606,348,0.0,84.84
56772,349,126.0,84.63
56883,350,63.0,84.0
56982,351,63.0,83.16
57147,352,105.0,82.74
57272,353,105.0,83.37
57354,354,84.0,83.79
57511,355,105.0,84.0
57668,356,105.0,84.21
57816,357,84.0,84.21
58005,358,147.0,85.26
58170,359,21.0,84.84
58233,360,21.0,83.58
58408,361,126.0,83.37
58573,362,147.0,84.21
58738,363,84.0,84.63
58863,364,42.0,84.63
59053,365,147.0,84.63
59087,366,21.0,84.42
59206,367,84.0,85.05
59281,368,126.0,85.47
59427,369,105.0,85.05
59616,370,126.0,84.42
59741,371,105.0,84.84
59938,372,126.0,86.1
59999,373,21.0,84.84
60125,374,147.0,86.1
60159,375,42.0,85.47
60246,376,42.0,85.47
60371,377,84.0,86.1
60531,378,105.0,85.89
60672,379,105.0,85.89
60845,380,105.0,86.1
61026,381,126.0,86.73
61171,382,63.0,86.31
61296,383,105.0,86.52
61525,384,105.0,87.15
61738,385,126.0,87.36
61872,386,42.0,87.36
62045,387,105.0,87.57
62204,388,84.0,88.2
62303,389,63.0,87.78
62467,390,105.0,87.99
62648,391,105.0,88.2
62797,392,63.0,88.2
62938,393,105.0,88.41
63099,394,105.0,88.83
63248,395,84.0,89.46
63469,396,84.0,90.3
63682,397,84.0,90.3
63860,398,168.0,90.93
63963,399,63.0,90.72
64102,400,84.0,90.93
64251,401,21.0,89.46
64431,402,168.0,90.09
64588,403,21.0,89.04
64745,404,63.0,89.46
64848,405,42.0,89.25
65128,406,168.0,89.67
65184,407,21.0,88.62
65314,408,21.0,87.78
65370,409,63.0,87.36
65517,410,126.0,87.78
65556,411,21.0,86.1
65655,412,42.0,86.31
65836,413,84.0,86.31
65980,414,126.0,87.57
66105,415,63.0,86.52
66246,416,63.0,87.15
66429,417,84.0,86.94
66574,418,126.0,86.52
66739,419,84.0,86.52
67016,420,105.0,86.31
67149,421,42.0,86.31
67271,422,105.0,86.31
67321,423,42.0,85.05
67534,424,168.0,86.1
67691,425,21.0,84.84
67780,426,105.0,85.68
67854,427,21.0,84.63
68059,428,126.0,85.68
68320,429,189.0,86.94
68505,430,147.0,87.15
