timestep,episode,reward,mean_reward
178,1,42.0,42.0
281,2,42.0,42.0
356,3,63.0,49.0
529,4,63.0,52.5
585,5,21.0,46.2
614,6,42.0,45.5
768,7,42.0,45.0
957,8,63.0,47.25
1085,9,63.0,49.0
1250,10,84.0,52.5
1423,11,105.0,57.272728
1588,12,63.0,57.75
1731,13,63.0,58.153847
1872,14,42.0,57.0
2021,15,84.0,58.8
2178,16,0.0,55.125
2342,17,105.0,58.058823
2483,18,105.0,60.666668
2648,19,63.0,60.789474
2821,20,105.0,63.0
2950,21,63.0,63.0
3069,22,42.0,62.045456
3112,23,0.0,59.347828
3288,24,105.0,61.25
3412,25,105.0,63.0
3463,26,21.0,61.384617
3636,27,63.0,61.444443
3817,28,42.0,60.75
3983,29,84.0,61.551723
4148,30,42.0,60.9
4289,31,84.0,61.64516
4446,32,126.0,63.65625
4507,33,42.0,63.0
4638,34,63.0,63.0
4819,35,105.0,64.2
4968,36,168.0,67.083336
5147,37,63.0,66.97298
5280,38,42.0,66.31579
5437,39,84.0,66.76923
5602,40,63.0,66.675
5764,41,63.0,66.585365
5905,42,42.0,66.0
6078,43,63.0,65.93023
6291,44,84.0,66.34091
6466,45,42.0,65.8
6631,46,63.0,65.73913
6804,47,42.0,65.23404
7033,48,126.0,66.5
7160,49,63.0,66.42857
7341,50,84.0,66.78
7482,51,21.0,65.882355
7655,52,63.0,65.82692
7819,53,84.0,66.169815
7992,54,42.0,65.72222
8149,55,63.0,65.67273
8354,56,84.0,66.0
8509,57,63.0,65.947365
8559,58,21.0,65.17242
8695,59,84.0,65.49152
8753,60,21.0,64.75
8847,61,0.0,63.688526
8898,62,21.0,63.0
9079,63,63.0,63.0
9244,64,42.0,62.671875
9400,65,84.0,63.0
9466,66,42.0,62.68182
9623,67,105.0,63.313435
9764,68,21.0,62.691177
9893,69,63.0,62.695652
10090,70,147.0,63.9
10119,71,21.0,63.295776
10217,72,63.0,63.291668
10305,73,0.0,62.424656
10453,74,42.0,62.148647
10620,75,126.0,63.0
10663,76,0.0,62.17105
10806,77,63.0,62.18182
10966,78,42.0,61.923077
11123,79,84.0,62.20253
11264,80,63.0,62.2125
11445,81,84.0,62.48148
11624,82,105.0,63.0
11917,83,168.0,64.26506
11948,84,21.0,63.75
12095,85,84.0,63.988235
12291,86,63.0,63.976746
12528,87,147.0,64.93104
12600,88,0.0,64.193184
12754,89,84.0,64.41573
12982,90,63.0,64.4
