timestep,episode,reward,length,mean_reward,mean_length
20450,124,1.0,119,2.79,174.4
20639,125,1.0,189,2.75,174.67
20993,126,5.0,354,2.76,176.08
21358,127,4.0,365,2.8,178.4
21547,128,6.0,189,2.86,179.74
21609,129,0.0,62,2.82,178.54
22115,130,4.0,506,2.81,181.95
22288,131,4.0,173,2.82,181.79
22413,132,1.0,125,2.81,181.79
22675,133,5.0,262,2.82,182.62
22984,134,6.0,309,2.85,184.22
23269,135,5.0,285,2.85,185.1
23434,136,1.0,165,2.82,185.18
23600,137,3.0,166,2.83,185.24
23845,138,8.0,245,2.9,186.44
23868,139,1.0,23,2.87,184.86
24255,140,8.0,387,2.93,186.76
24704,141,7.0,449,2.96,189.64
25285,142,11.0,581,3.06,194.12
25490,143,3.0,205,3.07,194.76
25711,144,3.0,221,3.04,195.48
25858,145,3.0,147,2.99,195.2
26031,146,6.0,173,3.04,195.68
26054,147,0.0,23,3.04,194.5
26217,148,3.0,163,3.03,194.08
26392,149,6.0,175,3.05,194.36
26517,150,3.0,125,3.03,193.96
26754,151,6.0,237,3.08,194.68
26777,152,1.0,23,3.05,193.42
26958,153,7.0,181,3.1,193.93
27155,154,4.0,197,3.13,194.17
27304,155,6.0,149,3.13,193.69
27497,156,7.0,193,3.17,194.13
27707,157,6.0,210,3.2,194.64
27896,158,3.0,189,3.21,195.28
28061,159,3.0,165,3.23,195.52
28194,160,2.0,133,3.22,195.36
28420,161,3.0,226,3.19,196.03
28609,162,2.0,189,3.18,196.59
28758,163,4.0,149,3.2,196.59
28979,164,4.0,221,3.21,197.23
29140,165,7.0,161,3.26,197.36
29195,166,0.0,55,3.2,196.1
29294,167,2.0,99,3.21,195.44
29483,168,5.0,189,3.26,196.0
29693,169,9.0,210,3.34,197.51
29866,170,2.0,173,3.34,197.67
30151,171,5.0,285,3.39,200.18
30206,172,2.0,55,3.4,200.17
30340,173,5.0,134,3.43,199.71
30505,174,6.0,165,3.46,200.11
30638,175,7.0,133,3.5,198.43
30779,176,5.0,141,3.52,197.39
30945,177,9.0,166,3.55,197.28
31198,178,5.0,253,3.58,198.45
31331,179,2.0,133,3.59,199.04
31496,180,4.0,165,3.58,198.16
31704,181,9.0,208,3.65,199.64
31807,182,1.0,103,3.65,200.38
31946,183,2.0,139,3.66,200.31
32095,184,4.0,149,3.67,200.76
32242,185,5.0,147,3.69,199.45
32423,186,5.0,181,3.71,199.21
32438,187,0.0,15,3.7,198.24
32467,188,1.0,29,3.69,196.83
32613,189,4.0,146,3.68,197.08
32810,190,5.0,197,3.7,198.38
33015,191,6.0,205,3.74,199.72
33180,192,4.0,165,3.77,200.54
33342,193,5.0,162,3.79,200.89
33467,194,2.0,125,3.75,200.25
33632,195,4.0,165,3.78,200.38
33871,196,7.0,239,3.85,201.39
34019,197,5.0,148,3.88,200.43
34059,198,0.0,40,3.84,197.34
34152,199,1.0,93,3.81,195.98
34210,200,2.0,58,3.82,196.25
34440,201,8.0,230,3.85,196.39
34589,202,1.0,149,3.79,196.15
34770,203,5.0,181,3.84,197.81
34945,204,6.0,175,3.82,194.33
35190,205,8.0,245,3.82,191.31
35323,206,1.0,133,3.8,190.91
35464,207,0.0,141,3.77,189.79
35797,208,9.0,333,3.84,190.27
35856,209,2.0,59,3.83,187.3
36018,210,3.0,162,3.84,186.23
36143,211,2.0,125,3.86,185.83
36268,212,2.0,125,3.86,186.12
36432,213,5.0,164,3.89,185.53
36573,214,4.0,141,3.93,186.65
36714,215,2.0,141,3.95,187.77
36847,216,1.0,133,3.93,186.12
36941,217,1.0,94,3.84,180.82
37096,218,3.0,155,3.84,180.06
37261,219,4.0,165,3.84,175.01
37348,220,2.0,87,3.86,173.99
37408,221,2.0,60,3.86,172.87
37501,222,3.0,93,3.89,173.33
37728,223,6.0,227,3.93,173.97
37941,224,8.0,213,4.0,174.91
38086,225,7.0,145,4.06,174.47
38259,226,3.0,173,4.04,172.66
38410,227,4.0,151,4.04,170.52
38485,228,2.0,75,4.0,169.38
38615,229,3.0,130,4.03,170.06
38788,230,4.0,173,4.03,166.73
38985,231,5.0,197,4.04,166.97
39150,232,5.0,165,4.08,167.37
39244,233,3.0,94,4.06,165.69
39359,234,3.0,115,4.03,163.75
39556,235,5.0,197,4.03,162.87
39681,236,4.0,125,4.06,162.47
39831,237,3.0,150,4.06,162.31
39958,238,5.0,127,4.03,161.13
40051,239,2.0,93,4.04,161.83
40086,240,1.0,35,3.97,158.31
40246,241,4.0,160,3.94,155.42
40302,242,2.0,56,3.85,150.17
40480,243,1.0,178,3.83,149.9
40711,244,3.0,231,3.83,150.0
40856,245,8.0,145,3.88,149.98
41085,246,4.0,229,3.86,150.54
41290,247,6.0,205,3.92,152.36
